Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130129-kleinkliphuis-300sec-7"
255,"32"
256,"40"
257,"39"
258,"39"
259,"34"
260,"34"
261,"30"
262,"40"
263,"35"
264,"37"
265,"31"
266,"40"
267,"48"
268,"46"
269,"57"
270,"47"
271,"48"
272,"48"
273,"43"
274,"47"
275,"37"
276,"37"
277,"35"
278,"35"
279,"28"
280,"24"
281,"29"
282,"20"
283,"45"
284,"47"
285,"60"
286,"57"
287,"117"
288,"112"
289,"178"
290,"250"
291,"290"
292,"365"
293,"390"
294,"440"
295,"432"
296,"430"
297,"380"
298,"359"
299,"283"
300,"280"
301,"210"
302,"164"
303,"109"
304,"103"
305,"105"
306,"122"
307,"163"
308,"246"
309,"397"
310,"597"
311,"1026"
312,"1547"
313,"2346"
314,"3322"
315,"4339"
316,"5583"
317,"6965"
318,"7796"
319,"8603"
320,"9043"
321,"8542"
322,"8066"
323,"7123"
324,"5936"
325,"4812"
326,"3782"
327,"2760"
328,"1983"
329,"1292"
330,"943"
331,"577"
332,"394"
333,"289"
334,"224"
335,"155"
336,"142"
337,"105"
338,"108"
339,"122"
340,"115"
341,"137"
342,"198"
343,"261"
344,"324"
345,"404"
346,"527"
347,"716"
348,"914"
349,"1083"
350,"1249"
351,"1432"
352,"1493"
353,"1534"
354,"1478"
355,"1340"
356,"1150"
357,"1053"
358,"817"
359,"602"
360,"500"
361,"357"
362,"255"
363,"153"
364,"118"
365,"78"
366,"68"
367,"52"
368,"50"
369,"56"
370,"57"
371,"58"
372,"66"
373,"69"
374,"50"
375,"57"
376,"62"
377,"49"
378,"35"
379,"43"
380,"29"
381,"46"
382,"30"
383,"28"
384,"25"
385,"20"
386,"22"
387,"22"
388,"19"
389,"16"
390,"15"
391,"13"
392,"14"
393,"15"
394,"17"
395,"13"
396,"13"
397,"13"
398,"10"
399,"20"
400,"22"
401,"18"
402,"19"
403,"25"
404,"27"
405,"15"
406,"13"
407,"22"
408,"17"
409,"23"
410,"22"
411,"23"
412,"27"
413,"15"
414,"23"
415,"17"
416,"19"
417,"26"
418,"22"
419,"13"
420,"22"
421,"20"
422,"28"
423,"24"
424,"11"
425,"28"
426,"15"
427,"25"
428,"14"
429,"23"
430,"16"
431,"30"
432,"26"
433,"22"
434,"25"
435,"15"
436,"17"
437,"18"
438,"15"
439,"17"
440,"19"
441,"9"
442,"7"
443,"13"
444,"9"
445,"9"
446,"7"
447,"7"
448,"7"
449,"15"
450,"9"
451,"7"
452,"10"
453,"7"
454,"15"
455,"2"
456,"9"
457,"7"
458,"14"
459,"7"
460,"14"
461,"14"
462,"11"
463,"12"
464,"11"
465,"7"
466,"10"
467,"13"
468,"8"
469,"4"
470,"8"
471,"6"
472,"12"
473,"13"
474,"12"
475,"16"
476,"15"
477,"10"
478,"17"
479,"26"
480,"19"
481,"15"
482,"23"
483,"19"
484,"16"
485,"22"
486,"24"
487,"13"
488,"19"
489,"21"
490,"10"
491,"17"
492,"8"
493,"13"
494,"18"
495,"11"
496,"17"
497,"13"
498,"11"
499,"8"
500,"7"
501,"11"
502,"8"
503,"7"
504,"6"
505,"6"
506,"6"
507,"13"
508,"13"
509,"7"
510,"12"
511,"6"
512,"7"
513,"8"
514,"9"
515,"10"
516,"12"
517,"10"
518,"14"
519,"18"
520,"20"
521,"22"
522,"30"
523,"25"
524,"42"
525,"49"
526,"30"
527,"44"
528,"36"
529,"37"
530,"36"
531,"35"
532,"26"
533,"21"
534,"20"
535,"19"
536,"12"
537,"7"
538,"12"
539,"14"
540,"9"
541,"3"
542,"7"
543,"10"
544,"14"
545,"4"
546,"4"
547,"8"
548,"10"
549,"13"
550,"17"
551,"8"
552,"4"
553,"9"
554,"12"
555,"6"
556,"10"
557,"5"
558,"9"
559,"10"
560,"6"
561,"11"
562,"13"
563,"8"
564,"12"
565,"10"
566,"8"
567,"12"
568,"6"
569,"8"
570,"7"
571,"8"
572,"3"
573,"8"
574,"16"
575,"8"
576,"8"
577,"12"
578,"4"
579,"8"
580,"8"
581,"17"
582,"11"
583,"10"
584,"19"
585,"11"
586,"10"
587,"15"
588,"11"
589,"16"
590,"15"
591,"8"
592,"4"
593,"11"
594,"12"
595,"8"
596,"2"
597,"9"
598,"6"
599,"11"
600,"9"
601,"9"
602,"9"
603,"10"
604,"8"
605,"8"
606,"6"
607,"5"
608,"7"
609,"11"
610,"15"
611,"3"
612,"11"
613,"7"
614,"3"
615,"2"
616,"12"
617,"7"
618,"13"
619,"12"
620,"9"
621,"6"
622,"6"
623,"11"
624,"12"
625,"15"
626,"24"
627,"21"
628,"29"
629,"26"
630,"22"
631,"20"
632,"25"
633,"23"
634,"24"
635,"23"
636,"21"
637,"20"
638,"19"
639,"22"
640,"18"
641,"19"
642,"20"
643,"24"
644,"22"
645,"17"
646,"12"
647,"12"
648,"23"
649,"20"
650,"16"
651,"18"
652,"13"
653,"13"
654,"12"
655,"9"
656,"18"
657,"6"
658,"11"
659,"15"
660,"21"
661,"18"
662,"25"
663,"30"
664,"28"
665,"41"
666,"40"
667,"42"
668,"43"
669,"45"
670,"51"
671,"42"
672,"32"
673,"40"
674,"30"
675,"34"
676,"27"
677,"23"
678,"21"
679,"15"
680,"18"
681,"13"
682,"12"
683,"11"
684,"14"
685,"10"
686,"6"
687,"6"
688,"5"
689,"6"
690,"8"
691,"8"
692,"13"
693,"9"
694,"16"
695,"11"
696,"19"
697,"17"
698,"30"
699,"31"
700,"29"
701,"46"
702,"55"
703,"85"
704,"77"
705,"68"
706,"67"
707,"89"
708,"80"
709,"74"
710,"64"
711,"43"
712,"55"
713,"52"
714,"40"
715,"29"
716,"33"
717,"22"
718,"25"
719,"19"
720,"11"
721,"11"
722,"7"
723,"8"
724,"7"
725,"11"
726,"10"
727,"7"
728,"12"
729,"4"
730,"12"
731,"7"
732,"9"
733,"11"
734,"12"
735,"17"
736,"16"
737,"17"
738,"21"
739,"20"
740,"31"
741,"24"
742,"21"
743,"29"
744,"44"
745,"42"
746,"41"
747,"42"
748,"47"
749,"47"
750,"37"
751,"33"
752,"32"
753,"17"
754,"23"
755,"24"
756,"13"
757,"18"
758,"19"
759,"14"
760,"16"
761,"16"
762,"9"
763,"17"
764,"24"
765,"11"
766,"13"
767,"10"
768,"17"
769,"8"
770,"13"
771,"20"
772,"18"
773,"24"
774,"36"
775,"47"
776,"60"
777,"96"
778,"105"
779,"90"
780,"141"
781,"196"
782,"226"
783,"234"
784,"278"
785,"287"
786,"306"
787,"320"
788,"308"
789,"319"
790,"294"
791,"276"
792,"251"
793,"221"
794,"166"
795,"143"
796,"105"
797,"96"
798,"74"
799,"52"
800,"48"
801,"46"
802,"37"
803,"33"
804,"30"
805,"29"
806,"14"
807,"19"
808,"29"
809,"21"
810,"14"
811,"20"
812,"19"
813,"21"
814,"14"
815,"18"
816,"21"
817,"14"
818,"15"
819,"14"
820,"23"
821,"23"
822,"20"
823,"30"
824,"27"
825,"25"
826,"27"
827,"37"
828,"31"
829,"37"
830,"39"
831,"29"
832,"31"
833,"37"
834,"22"
835,"19"
836,"27"
837,"27"
838,"25"
839,"19"
840,"27"
841,"28"
842,"35"
843,"22"
844,"22"
845,"24"
846,"21"
847,"27"
848,"21"
849,"33"
850,"27"
851,"22"
852,"24"
853,"27"
854,"29"
855,"17"
856,"24"
857,"33"
858,"27"
859,"23"
860,"24"
861,"31"
862,"30"
863,"30"
864,"45"
865,"26"
866,"26"
867,"33"
868,"26"
869,"40"
870,"31"
871,"31"
872,"38"
873,"43"
874,"40"
875,"56"
876,"53"
877,"55"
878,"68"
879,"81"
880,"76"
881,"75"
882,"86"
883,"81"
884,"89"
885,"71"
886,"76"
887,"80"
888,"66"
889,"59"
890,"63"
891,"52"
892,"58"
893,"49"
894,"58"
895,"45"
896,"50"
897,"46"
898,"49"
899,"59"
900,"51"
901,"42"
902,"51"
903,"48"
904,"45"
905,"44"
906,"59"
907,"57"
908,"50"
909,"49"
910,"53"
911,"47"
912,"70"
913,"46"
914,"56"
915,"59"
916,"53"
917,"67"
918,"59"
919,"44"
920,"72"
921,"64"
922,"63"
923,"74"
924,"74"
925,"93"
926,"97"
927,"66"
928,"77"
929,"93"
930,"108"
931,"104"
932,"110"
933,"120"
934,"103"
935,"115"
936,"155"
937,"136"
938,"132"
939,"150"
940,"167"
941,"155"
942,"165"
943,"162"
944,"173"
945,"187"
946,"184"
947,"181"
948,"186"
949,"197"
950,"209"
951,"186"
952,"223"
953,"194"
954,"192"
955,"224"
956,"209"
957,"196"
958,"189"
959,"188"
960,"206"
961,"213"
962,"192"
963,"187"
964,"177"
965,"169"
966,"164"
967,"139"
968,"141"
969,"181"
970,"147"
971,"148"
972,"112"
973,"112"
974,"153"
975,"142"
976,"134"
977,"114"
978,"95"
979,"124"
980,"104"
981,"100"
982,"112"
983,"113"
984,"112"
985,"100"
986,"101"
987,"107"
988,"109"
989,"127"
990,"120"
991,"120"
992,"120"
993,"110"
994,"113"
995,"139"
996,"125"
997,"143"
998,"144"
999,"158"
1000,"164"
1001,"177"
1002,"190"
1003,"204"
1004,"190"
1005,"206"
1006,"233"
1007,"217"
1008,"237"
1009,"219"
1010,"242"
1011,"255"
1012,"224"
1013,"198"
1014,"195"
1015,"185"
1016,"190"
1017,"134"
1018,"162"
1019,"133"
1020,"132"
1021,"139"
1022,"129"
1023,"135"
1024,"107"
1025,"98"
1026,"107"
1027,"122"
1028,"120"
1029,"117"
1030,"134"
1031,"128"
1032,"139"
1033,"132"
1034,"115"
1035,"125"
1036,"130"
1037,"127"
1038,"134"
1039,"132"
1040,"131"
1041,"165"
1042,"154"
1043,"148"
1044,"149"
1045,"144"
1046,"158"
1047,"159"
1048,"176"
1049,"155"
1050,"156"
1051,"191"
1052,"169"
1053,"187"
1054,"174"
1055,"201"
1056,"193"
1057,"197"
1058,"189"
1059,"182"
1060,"196"
1061,"217"
1062,"225"
1063,"214"
1064,"220"
1065,"225"
1066,"231"
1067,"232"
1068,"231"
1069,"182"
1070,"208"
1071,"238"
1072,"253"
1073,"199"
1074,"201"
1075,"196"
1076,"195"
1077,"221"
1078,"211"
1079,"194"
1080,"221"
1081,"173"
1082,"193"
1083,"210"
1084,"206"
1085,"207"
1086,"194"
1087,"178"
1088,"192"
1089,"188"
1090,"186"
1091,"209"
1092,"198"
1093,"182"
1094,"198"
1095,"205"
1096,"176"
1097,"203"
1098,"202"
1099,"222"
1100,"200"
1101,"197"
1102,"170"
1103,"192"
1104,"189"
1105,"206"
1106,"186"
1107,"191"
1108,"178"
1109,"199"
1110,"161"
1111,"165"
1112,"166"
1113,"182"
1114,"184"
1115,"200"
1116,"186"
1117,"179"
1118,"176"
1119,"168"
1120,"161"
1121,"192"
1122,"179"
1123,"199"
1124,"202"
1125,"224"
1126,"212"
1127,"203"
1128,"204"
1129,"218"
1130,"229"
1131,"233"
1132,"236"
1133,"246"
1134,"250"
1135,"252"
1136,"253"
1137,"235"
1138,"251"
1139,"261"
1140,"242"
1141,"242"
1142,"236"
1143,"202"
1144,"240"
1145,"223"
1146,"215"
1147,"196"
1148,"173"
1149,"227"
1150,"220"
1151,"213"
1152,"211"
1153,"205"
1154,"224"
1155,"209"
1156,"200"
1157,"212"
1158,"203"
1159,"200"
1160,"213"
1161,"215"
1162,"211"
1163,"197"
1164,"218"
1165,"239"
1166,"228"
1167,"192"
1168,"211"
1169,"209"
1170,"199"
1171,"185"
1172,"214"
1173,"200"
1174,"216"
1175,"214"
1176,"230"
1177,"189"
1178,"220"
1179,"240"
1180,"221"
1181,"197"
1182,"221"
1183,"214"
1184,"213"
1185,"232"
1186,"243"
1187,"239"
1188,"226"
1189,"223"
1190,"213"
1191,"222"
1192,"209"
1193,"211"
1194,"263"
1195,"247"
1196,"247"
1197,"238"
1198,"242"
1199,"251"
1200,"227"
1201,"215"
1202,"234"
1203,"236"
1204,"234"
1205,"275"
1206,"234"
1207,"230"
1208,"269"
1209,"253"
1210,"243"
1211,"227"
1212,"254"
1213,"224"
1214,"258"
1215,"257"
1216,"237"
1217,"254"
1218,"249"
1219,"259"
1220,"239"
1221,"239"
1222,"256"
1223,"229"
1224,"273"
1225,"253"
1226,"267"
1227,"230"
1228,"270"
1229,"264"
1230,"251"
1231,"262"
1232,"269"
1233,"269"
1234,"255"
1235,"261"
1236,"283"
1237,"299"
1238,"322"
1239,"271"
1240,"265"
1241,"275"
1242,"256"
1243,"320"
1244,"306"
1245,"281"
1246,"295"
1247,"309"
1248,"314"
1249,"294"
1250,"319"
1251,"289"
1252,"331"
1253,"298"
1254,"310"
1255,"326"
1256,"339"
1257,"337"
1258,"353"
1259,"321"
1260,"346"
1261,"331"
1262,"344"
1263,"356"
1264,"368"
1265,"327"
1266,"329"
1267,"331"
1268,"305"
1269,"312"
1270,"341"
1271,"304"
1272,"314"
1273,"332"
1274,"306"
1275,"308"
1276,"291"
1277,"295"
1278,"295"
1279,"303"
1280,"289"
1281,"291"
1282,"325"
1283,"272"
1284,"330"
1285,"318"
1286,"320"
1287,"287"
1288,"294"
1289,"319"
1290,"320"
1291,"323"
1292,"292"
1293,"298"
1294,"297"
1295,"331"
1296,"306"
1297,"309"
1298,"385"
1299,"322"
1300,"346"
1301,"307"
1302,"312"
1303,"334"
1304,"354"
1305,"369"
1306,"333"
1307,"302"
1308,"347"
1309,"348"
1310,"317"
1311,"385"
1312,"331"
1313,"349"
1314,"331"
1315,"339"
1316,"353"
1317,"330"
1318,"340"
1319,"367"
1320,"379"
1321,"351"
1322,"358"
1323,"330"
1324,"353"
1325,"368"
1326,"309"
1327,"348"
1328,"349"
1329,"345"
1330,"333"
1331,"349"
1332,"324"
1333,"365"
1334,"366"
1335,"358"
1336,"354"
1337,"351"
1338,"344"
1339,"350"
1340,"361"
1341,"386"
1342,"357"
1343,"372"
1344,"361"
1345,"366"
1346,"353"
1347,"361"
1348,"390"
1349,"378"
1350,"361"
1351,"368"
1352,"329"
1353,"351"
1354,"343"
1355,"389"
1356,"386"
1357,"343"
1358,"377"
1359,"382"
1360,"353"
1361,"383"
1362,"398"
1363,"372"
1364,"383"
1365,"389"
1366,"352"
1367,"369"
1368,"403"
1369,"359"
1370,"394"
1371,"393"
1372,"361"
1373,"339"
1374,"400"
1375,"383"
1376,"406"
1377,"380"
1378,"403"
1379,"351"
1380,"381"
1381,"430"
1382,"354"
1383,"381"
1384,"379"
1385,"387"
1386,"402"
1387,"393"
1388,"385"
1389,"443"
1390,"392"
1391,"392"
1392,"400"
1393,"413"
1394,"387"
1395,"397"
1396,"415"
1397,"437"
1398,"369"
1399,"407"
1400,"413"
1401,"379"
1402,"393"
1403,"352"
1404,"373"
1405,"391"
1406,"360"
1407,"411"
1408,"378"
1409,"354"
1410,"398"
1411,"407"
1412,"417"
1413,"406"
1414,"369"
1415,"440"
1416,"398"
1417,"453"
1418,"413"
1419,"392"
1420,"424"
1421,"421"
1422,"433"
1423,"437"
1424,"406"
1425,"429"
1426,"413"
1427,"428"
1428,"384"
1429,"433"
1430,"404"
1431,"436"
1432,"429"
1433,"416"
1434,"427"
1435,"387"
1436,"414"
1437,"427"
1438,"389"
1439,"445"
1440,"400"
1441,"423"
1442,"404"
1443,"396"
1444,"404"
1445,"423"
1446,"420"
1447,"430"
1448,"448"
1449,"434"
1450,"403"
1451,"409"
1452,"429"
1453,"438"
1454,"398"
1455,"409"
1456,"424"
1457,"407"
1458,"417"
1459,"408"
1460,"406"
1461,"432"
1462,"451"
1463,"427"
1464,"397"
1465,"434"
1466,"418"
1467,"417"
1468,"413"
1469,"421"
1470,"426"
1471,"463"
1472,"452"
1473,"390"
1474,"412"
1475,"425"
1476,"444"
1477,"453"
1478,"444"
1479,"410"
1480,"423"
1481,"402"
1482,"400"
1483,"433"
1484,"408"
1485,"438"
1486,"397"
1487,"435"
1488,"440"
1489,"404"
1490,"418"
1491,"400"
1492,"414"
1493,"417"
1494,"410"
1495,"425"
1496,"409"
1497,"402"
1498,"404"
1499,"413"
1500,"427"
1501,"422"
1502,"419"
1503,"406"
1504,"443"
1505,"466"
1506,"432"
1507,"410"
1508,"390"
1509,"399"
1510,"442"
1511,"407"
1512,"443"
1513,"417"
1514,"418"
1515,"389"
1516,"425"
1517,"417"
1518,"422"
1519,"459"
1520,"430"
1521,"442"
1522,"438"
1523,"435"
1524,"414"
1525,"414"
1526,"426"
1527,"463"
1528,"416"
1529,"420"
1530,"431"
1531,"408"
1532,"448"
1533,"401"
1534,"433"
1535,"389"
1536,"400"
1537,"412"
1538,"419"
1539,"411"
1540,"403"
1541,"395"
1542,"392"
1543,"397"
1544,"435"
1545,"417"
1546,"390"
1547,"421"
1548,"403"
1549,"437"
1550,"475"
1551,"393"
1552,"434"
1553,"419"
1554,"414"
1555,"410"
1556,"415"
1557,"403"
1558,"405"
1559,"421"
1560,"428"
1561,"418"
1562,"426"
1563,"418"
1564,"401"
1565,"406"
1566,"399"
1567,"407"
1568,"419"
1569,"401"
1570,"402"
1571,"382"
1572,"416"
1573,"451"
1574,"428"
1575,"419"
1576,"448"
1577,"438"
1578,"410"
1579,"390"
1580,"394"
1581,"410"
1582,"365"
1583,"422"
1584,"435"
1585,"446"
1586,"378"
1587,"421"
1588,"401"
1589,"410"
1590,"358"
1591,"435"
1592,"410"
1593,"429"
1594,"397"
1595,"402"
1596,"437"
1597,"405"
1598,"416"
1599,"432"
1600,"373"
1601,"397"
1602,"410"
1603,"383"
1604,"363"
1605,"390"
1606,"378"
1607,"438"
1608,"435"
1609,"380"
1610,"401"
1611,"373"
1612,"419"
1613,"400"
1614,"384"
1615,"391"
1616,"387"
1617,"406"
1618,"359"
1619,"389"
1620,"386"
1621,"413"
1622,"407"
1623,"355"
1624,"347"
1625,"367"
1626,"334"
1627,"365"
1628,"365"
1629,"350"
1630,"347"
1631,"371"
1632,"387"
1633,"382"
1634,"368"
1635,"379"
1636,"335"
1637,"331"
1638,"353"
1639,"354"
1640,"381"
1641,"390"
1642,"338"
1643,"356"
1644,"362"
1645,"357"
1646,"331"
1647,"361"
1648,"346"
1649,"367"
1650,"350"
1651,"356"
1652,"349"
1653,"369"
1654,"341"
1655,"369"
1656,"364"
1657,"308"
1658,"354"
1659,"325"
1660,"329"
1661,"356"
1662,"288"
1663,"331"
1664,"311"
1665,"291"
1666,"326"
1667,"317"
1668,"291"
1669,"319"
1670,"326"
1671,"325"
1672,"349"
1673,"324"
1674,"302"
1675,"319"
1676,"320"
1677,"330"
1678,"329"
1679,"297"
1680,"292"
1681,"329"
1682,"321"
1683,"284"
1684,"309"
1685,"315"
1686,"298"
1687,"329"
1688,"292"
1689,"263"
1690,"325"
1691,"272"
1692,"281"
1693,"291"
1694,"291"
1695,"270"
1696,"271"
1697,"270"
1698,"257"
1699,"275"
1700,"278"
1701,"299"
1702,"270"
1703,"261"
1704,"282"
1705,"280"
1706,"273"
1707,"281"
1708,"267"
1709,"236"
1710,"272"
1711,"235"
1712,"275"
1713,"235"
1714,"256"
1715,"237"
1716,"250"
1717,"244"
1718,"242"
1719,"237"
1720,"230"
1721,"252"
1722,"244"
1723,"247"
1724,"222"
1725,"215"
1726,"234"
1727,"215"
1728,"214"
1729,"225"
1730,"242"
1731,"212"
1732,"227"
1733,"202"
1734,"214"
1735,"226"
1736,"204"
1737,"197"
1738,"236"
1739,"229"
1740,"216"
1741,"203"
1742,"178"
1743,"204"
1744,"194"
1745,"201"
1746,"194"
1747,"192"
1748,"198"
1749,"209"
1750,"194"
1751,"194"
1752,"193"
1753,"191"
1754,"179"
1755,"209"
1756,"177"
1757,"180"
1758,"178"
1759,"150"
1760,"184"
1761,"180"
1762,"179"
1763,"160"
1764,"164"
1765,"151"
1766,"149"
1767,"169"
1768,"154"
1769,"160"
1770,"179"
1771,"148"
1772,"167"
1773,"154"
1774,"139"
1775,"143"
1776,"143"
1777,"163"
1778,"155"
1779,"153"
1780,"156"
1781,"128"
1782,"139"
1783,"157"
1784,"131"
1785,"117"
1786,"131"
1787,"123"
1788,"129"
1789,"139"
1790,"129"
1791,"118"
1792,"119"
1793,"118"
1794,"108"
1795,"130"
1796,"117"
1797,"112"
1798,"124"
1799,"134"
1800,"128"
1801,"114"
1802,"111"
1803,"130"
1804,"117"
1805,"135"
1806,"99"
1807,"106"
1808,"125"
1809,"110"
1810,"96"
1811,"107"
1812,"98"
1813,"102"
1814,"111"
1815,"113"
1816,"78"
1817,"88"
1818,"90"
1819,"90"
1820,"92"
1821,"104"
1822,"85"
1823,"86"
1824,"84"
1825,"75"
1826,"83"
1827,"89"
1828,"95"
1829,"100"
1830,"90"
1831,"88"
1832,"78"
1833,"93"
1834,"88"
1835,"89"
1836,"79"
1837,"77"
1838,"91"
1839,"80"
1840,"83"
1841,"74"
1842,"79"
1843,"81"
1844,"70"
1845,"81"
1846,"84"
1847,"76"
1848,"76"
1849,"66"
1850,"57"
1851,"76"
1852,"70"
1853,"62"
1854,"71"
1855,"77"
1856,"69"
1857,"70"
1858,"69"
1859,"60"
1860,"57"
1861,"55"
1862,"72"
1863,"57"
1864,"61"
1865,"62"
1866,"62"
1867,"65"
1868,"67"
1869,"66"
1870,"70"
1871,"59"
1872,"59"
1873,"58"
1874,"53"
1875,"57"
1876,"55"
1877,"74"
1878,"78"
1879,"63"
1880,"71"
1881,"56"
1882,"62"
1883,"61"
1884,"54"
1885,"66"
1886,"61"
1887,"55"
1888,"40"
1889,"50"
1890,"61"
1891,"51"
1892,"44"
1893,"49"
1894,"39"
1895,"46"
1896,"54"
1897,"40"
1898,"59"
1899,"54"
1900,"45"
1901,"53"
1902,"55"
1903,"49"
1904,"47"
1905,"48"
1906,"53"
1907,"42"
1908,"43"
1909,"47"
1910,"45"
1911,"33"
1912,"42"
1913,"46"
1914,"36"
1915,"42"
1916,"38"
1917,"36"
1918,"52"
1919,"47"
1920,"42"
1921,"37"
1922,"33"
1923,"38"
1924,"43"
1925,"39"
1926,"42"
1927,"25"
1928,"35"
1929,"39"
1930,"31"
1931,"32"
1932,"38"
1933,"34"
1934,"31"
1935,"25"
1936,"28"
1937,"32"
1938,"35"
1939,"22"
1940,"41"
1941,"34"
1942,"17"
1943,"30"
1944,"27"
1945,"28"
1946,"15"
1947,"34"
1948,"24"
1949,"29"
1950,"25"
1951,"21"
1952,"22"
1953,"20"
1954,"26"
1955,"23"
1956,"22"
1957,"24"
1958,"17"
1959,"21"
1960,"13"
1961,"25"
1962,"19"
1963,"21"
1964,"19"
1965,"18"
1966,"26"
1967,"25"
1968,"14"
1969,"18"
1970,"18"
1971,"19"
1972,"13"
1973,"17"
1974,"13"
1975,"16"
1976,"14"
1977,"13"
1978,"9"
1979,"13"
1980,"10"
1981,"17"
1982,"6"
1983,"10"
1984,"15"
1985,"7"
1986,"9"
1987,"10"
1988,"12"
1989,"16"
1990,"12"
1991,"16"
1992,"6"
1993,"6"
1994,"9"
1995,"7"
1996,"8"
1997,"7"
1998,"8"
1999,"4"
2000,"4"
2001,"8"
2002,"2"
2003,"9"
2004,"2"
2005,"3"
2006,"4"
2007,"2"
2008,"5"
2009,"7"
2010,"3"
2011,"1"
2012,"3"
2013,"1"
2014,"2"
2015,"1"
2016,"4"
2017,"2"
2018,"1"
2019,"0"
2020,"0"
2021,"0"
2022,"2"
2023,"2"
2024,"3"
2025,"1"
2026,"0"
2027,"0"
2028,"0"
2029,"1"
2030,"1"
2031,"1"
2032,"2"
2033,"0"
2034,"0"
2035,"0"
2036,"0"
2037,"1"
2038,"1"
2039,"1"
2040,"1"
2041,"0"
2042,"0"
2043,"0"
2044,"0"
2045,"1"
2046,"1"
2047,"0"


